i,n,10098,defaulted,Food,Kenya,F,300,lender
i,n,10099,defaulted,Agriculture,Kenya,F,250,lender
i,n,10100,defaulted,Clothing,Kenya,F,900,lender
i,n,10101,defaulted,Agriculture,Kenya,F,600,lender
i,n,10102,defaulted,Retail,Kenya,F,750,lender
i,n,10103,defaulted,Agriculture,Kenya,F,525,lender
i,n,10104,defaulted,Agriculture,Kenya,F,750,lender
i,n,10105,defaulted,Retail,Kenya,F,1050,lender
i,n,10106,defaulted,Agriculture,Kenya,F,1050,lender
i,n,10107,defaulted,Services,Kenya,F,450,lender
i,n,10108,defaulted,Agriculture,Kenya,F,450,lender
i,n,10109,defaulted,Agriculture,Kenya,F,450,lender
i,n,10110,defaulted,Agriculture,Kenya,F,450,lender
i,n,10111,defaulted,Agriculture,Kenya,F,150,lender
i,n,10112,defaulted,Agriculture,Kenya,F,250,lender
i,n,10113,defaulted,Agriculture,Kenya,F,300,lender
i,n,10114,defaulted,Construction,Kenya,F,1000,lender
i,n,10115,defaulted,Services,Kenya,F,1200,lender
i,n,10116,defaulted,Services,Kenya,M,850,lender
i,n,10117,defaulted,Agriculture,Kenya,M,1500,lender
i,n,10118,defaulted,Agriculture,Kenya,M,1800,lender
i,n,10119,defaulted,Agriculture,Kenya,F,750,lender
i,n,10120,defaulted,Agriculture,Kenya,M,1750,lender
i,n,10121,defaulted,Agriculture,Kenya,F,150,lender
i,n,10122,defaulted,Agriculture,Kenya,F,200,lender
i,n,10123,defaulted,Retail,Kenya,F,150,lender
i,n,10124,defaulted,Agriculture,Kenya,F,150,lender
i,n,10125,defaulted,Agriculture,Kenya,F,300,lender
i,n,10126,defaulted,Agriculture,Kenya,F,150,lender
i,n,10127,defaulted,Agriculture,Kenya,F,150,lender
i,n,10128,defaulted,Agriculture,Kenya,F,450,lender
i,n,10129,defaulted,Agriculture,Kenya,F,450,lender
i,n,10130,defaulted,Retail,Kenya,F,1150,lender
i,n,10131,defaulted,Agriculture,Kenya,F,900,lender
i,n,10132,defaulted,Agriculture,Kenya,F,450,lender
i,n,10133,defaulted,Food,Kenya,F,75,lender
i,n,10134,defaulted,Retail,Kenya,F,75,lender
i,n,10135,defaulted,Clothing,Kenya,F,75,lender
i,n,10136,defaulted,Retail,Kenya,F,75,lender
i,n,10137,defaulted,Services,Kenya,F,75,lender
